accel_x, accel_y, accel_z
-0.31, 2.61, -9.66
-0.15, 2.3, -9.66
-0.15, 2.3, -9.66
-0.15, 2.15, -9.66
-0.15, 2.15, -9.66
-0.31, 2.45, -9.81
-0.15, 2.3, -9.66
-0.15, 2.3, -9.66
-0.15, 2.3, -9.66
-0.15, 2.15, -9.5
-0.31, 2.61, -9.96
-0.31, 2.61, -9.96
-0.31, 1.69, -9.2
0.0, 1.69, -9.2
0.31, 1.53, -9.2
0.31, 1.53, -9.2
0.31, 1.53, -9.2
0.31, 1.99, -9.66
0.31, 1.99, -9.66
0.15, 2.45, -9.81
0.15, 2.45, -9.81
0.31, 2.45, -9.66
0.31, 2.45, -9.66
0.0, 1.99, -8.89
0.31, 2.3, -9.5
0.31, 2.3, -9.5
0.31, 2.3, -9.2
0.46, 2.45, -9.2
0.0, 1.53, -8.89
0.0, 1.53, -8.89
-0.31, 2.45, -9.66
-0.31, 2.45, -9.66
0.31, 2.15, -9.5
0.31, 2.15, -9.5
0.31, 2.45, -9.66
0.31, 2.45, -9.66
0.0, 2.45, -9.66
0.15, 2.61, -9.81
0.15, 2.61, -9.81
0.15, 2.45, -9.5
0.15, 2.45, -9.5
0.0, 2.45, -9.04
0.0, 2.45, -9.04
0.46, 2.45, -9.96
0.46, 2.45, -9.96
-0.15, 2.45, -9.81
-0.15, 2.45, -9.81
0.15, 2.61, -9.66
0.15, 2.61, -9.66
0.61, 2.61, -9.66
0.46, 2.61, -9.5
0.46, 2.61, -9.5
0.46, 2.61, -9.35
0.46, 2.61, -9.35
0.61, 2.3, -9.04
0.61, 2.3, -9.04
0.77, 2.61, -9.35
0.77, 2.61, -9.35
0.61, 2.61, -9.04
0.61, 2.61, -9.5
0.77, 2.3, -9.5
0.77, 2.3, -9.5
0.61, 2.61, -9.5
0.46, 2.76, -9.2
0.46, 2.76, -9.2
0.61, 2.45, -9.04
0.61, 2.45, -9.04
0.77, 2.15, -9.2
0.77, 2.15, -9.2
0.31, 2.15, -8.74
0.31, 2.15, -8.74
-0.15, 1.07, -6.9
-0.15, 0.31, -5.06
0.61, 0.31, -5.06
1.99, -0.61, -3.53
-0.15, 0.31, -0.92
-0.15, 0.31, -0.92
-0.46, 0.46, 0.15
-0.46, 0.46, 0.15
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.46, 0.46, -0.15
-0.61, 0.46, -0.15
-0.61, 0.46, -0.15
-0.61, 0.46, -0.15
-0.61, 0.46, -0.15
-0.61, 0.46, -0.15
-0.61, 0.46, -0.31
-0.61, 0.46, -0.31
-0.61, 0.46, -0.31
-0.61, 0.31, -0.31
-0.61, 0.31, -0.31
-19.47, -19.31, -5.67
-19.47, -19.31, -19.62
-19.47, -13.34, -19.62
10.27, 1.53, -19.62
10.27, 1.53, -19.62
0.0, 0.46, -2.45
0.0, 0.46, -2.45
0.0, -0.31, -0.46
0.0, -0.31, -0.46
-0.31, 0.31, 0.0
-0.31, 0.31, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
-0.46, 0.46, 0.0
1.84, 0.31, -7.97
1.84, 0.31, -7.97
1.84, 0.31, -7.97
-2.3, -0.92, -16.86
-2.3, -0.92, -16.86
-2.3, -0.92, -11.8
-1.07, 0.92, -11.8
-0.46, 0.61, -7.05
-0.46, 0.61, -7.05
-0.15, 0.0, -8.12
-0.15, 0.0, -8.12
-1.23, -0.61, -10.27
-1.07, -0.15, -10.58
-1.07, -0.15, -9.5
-0.46, 0.31, -9.5
-0.77, 0.0, -9.5
-0.77, 0.0, -9.5
-0.77, 0.0, -9.5
-1.07, -0.15, -9.96
-1.07, -0.15, -9.96
-0.77, 0.0, -9.66
-0.77, 0.15, -9.66
-0.92, 0.0, -9.81
-0.92, 0.0, -9.81
-0.92, 0.0, -9.81
-0.92, 0.0, -9.66
-0.77, -0.15, -9.66
-0.61, 0.0, -9.81
-0.61, 0.0, -9.81
-0.92, 0.0, -9.66
-0.77, -0.15, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.66
-0.77, 0.0, -9.66
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.92, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
-0.77, 0.0, -9.81
